Category,Description,Name,Price,SKU,Stock,Tags
"Pokemon,Psi","Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",Alakazam,40.00,7975,142 in stock,"alakazam,Inner Focus,Psi"
"Pokemon,Psi","Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.",Kadabra,129.00,9040,195 in stock,"Inner Focus,kadabra,Psi"
"Pokemon,Psi","Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",Abra,141.00,3845,116 in stock,"abra,Inner Focus,Psi"
"Pokemon,Tadpole","Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",Poliwrath,152.00,1848,216 in stock,"Damp,poliwrath,Tadpole"
"Pokemon,Tadpole","The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",Poliwhirl,121.00,4447,139 in stock,"Damp,poliwhirl,Tadpole"
"Pokemon,Tadpole","Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",Poliwag,174.00,6402,217 in stock,"Damp,poliwag,Tadpole"
"Legendary,Pokemon","Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",Arcanine,69.00,9267,14 in stock,"arcanine,Intimidate,Legendary"
"Pokemon,Puppy","Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",Growlithe,30.00,1749,243 in stock,"growlithe,Intimidate,Puppy"
"Pig Monkey,Pokemon","When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",Primeape,86.00,3052,68 in stock,"Pig Monkey,primeape,Vital Spirit"
"Pig Monkey,Pokemon","When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",Mankey,125.00,5180,209 in stock,"mankey,Pig Monkey,Vital Spirit"
"Duck,Pokemon","Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",Golduck,31.00,8764,278 in stock,"Damp,Duck,golduck"
"Duck,Pokemon","If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",Psyduck,182.00,6470,214 in stock,"Damp,Duck,psyduck"
"Classy Cat,Pokemon",Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,Persian,200.00,3752,108 in stock,"Classy Cat,persian,Technician"
"Pokemon,Scratch Cat","Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",Meowth,131.00,9594,203 in stock,"meowth,Pickup,Scratch Cat"
"Mole,Pokemon","Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",Dugtrio,111.00,7897,290 in stock,"dugtrio,Mole,Sand Veil"
"Egg,Pokemon","Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",Chansey,176.00,8548,151 in stock,"chansey,Egg,Natural Cure"
"Drill,Pokemon","Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.",Rhydon,27.00,4900,73 in stock,"Drill,rhydon,Rock Head"
"Pokemon,Spikes","Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.",Rhyhorn,124.00,8574,138 in stock,"rhyhorn,Rock Head,Spikes"
"Poison Gas,Pokemon","Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.",Weezing,48.00,8429,117 in stock,"Levitate,Poison Gas,weezing"
"Poison Gas,Pokemon","Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.",Koffing,38.00,3303,110 in stock,"koffing,Levitate,Poison Gas"
"Licking,Pokemon","Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.",Lickitung,142.00,5903,291 in stock,"Licking,lickitung,Oblivious"
"Pokemon,Punching",Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,Hitmonchan,91.00,3499,163 in stock,"hitmonchan,Keen Eye,Punching"
"Kicking,Pokemon","Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",Hitmonlee,73.00,6833,269 in stock,"hitmonlee,Kicking,Limber"
"Bone Keeper,Pokemon",Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.,Marowak,36.00,8681,295 in stock,"Bone Keeper,marowak,Rock Head"
"Lonely,Pokemon","Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",Cubone,177.00,3170,242 in stock,"cubone,Lonely,Rock Head"
"Coconut,Pokemon","Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",Exeggutor,68.00,8250,292 in stock,"Chlorophyll,Coconut,exeggutor"
"Egg,Pokemon","This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",Exeggcute,126.00,2494,144 in stock,"Chlorophyll,Egg,exeggcute"
"Ball,Pokemon",One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,Electrode,100.00,1042,230 in stock,"Ball,electrode,Static"
"Ball,Pokemon",Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,Voltorb,189.00,9522,245 in stock,"Ball,Static,voltorb"
"Pincer,Pokemon","Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",Kingler,72.00,1454,271 in stock,"kingler,Pincer,Shell Armor"
"Pokemon,Spiral","Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.",Omanyte,162.00,4569,13 in stock,"omanyte,Shell Armor,Spiral"
"Pokemon,Virtual",Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy protected so it cannot be duplicated by copying.,Porygon,178.00,7940,156 in stock,"porygon,Trace,Virtual"
"Flame,Pokemon","Flareon’s fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon’s body temperature can rise to a maximum of 1,650 degrees Fahrenheit.",Flareon,34.00,8149,142 in stock,"Flame,flareon,Flash Fire"
"Lightning,Pokemon","Jolteon’s cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.",Jolteon,158.00,4119,37 in stock,"jolteon,Lightning,Volt Absorb"
"Bubble Jet,Pokemon",Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.,Vaporeon,147.00,5437,226 in stock,"Bubble Jet,vaporeon,Water Absorb"
"Evolution,Pokemon",Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.,Eevee,112.00,3593,234 in stock,"eevee,Evolution,Run Away"
"Pokemon,Transform","Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.",Ditto,75.00,5061,177 in stock,"ditto,Limber,Transform"
"Pokemon,Transport","People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.",Lapras,172.00,7759,89 in stock,"lapras,Transport,Water Absorb"
